run_id,dataset_seed,accuracy_QSVM,accuracy_RBF,delta_accuracy
1,10000,0.75,0.65,0.09999999999999998
2,10001,0.85,0.5,0.35
3,10002,0.85,0.5,0.35
4,10003,0.75,0.55,0.19999999999999996
5,10004,0.75,0.55,0.19999999999999996
6,10005,0.8,0.65,0.15000000000000002
7,10006,0.85,0.5,0.35
8,10007,0.75,0.2,0.55
9,10008,0.75,0.55,0.19999999999999996
10,10009,0.8,0.55,0.25
11,10010,0.8,0.45,0.35000000000000003
12,10011,0.8,0.6,0.20000000000000007
13,10012,0.75,0.5,0.25
14,10013,0.8,0.7,0.10000000000000009
15,10014,0.85,0.6,0.25
16,10015,0.5,0.5,0.0
17,10016,0.85,0.5,0.35
18,10017,0.8,0.5,0.30000000000000004
19,10018,0.95,0.4,0.5499999999999999
20,10019,0.7,0.45,0.24999999999999994
21,10020,0.8,0.4,0.4
22,10021,0.95,0.7,0.25
23,10022,0.85,0.5,0.35
24,10023,0.7,0.6,0.09999999999999998
25,10024,0.85,0.5,0.35
26,10025,0.95,0.4,0.5499999999999999
27,10026,0.85,0.65,0.19999999999999996
28,10027,0.7,0.55,0.1499999999999999
29,10028,0.8,0.55,0.25
30,10029,0.8,0.6,0.20000000000000007
